Year,ScenarioKey,AccountKey,Amount
2028,1,8,1394678.91
2028,1,9,17474533.41
2028,1,10,-5021096.06
2028,1,11,10526632.12
2028,1,12,6947901.29
2028,1,15,37231167.3
2028,1,17,33574113.3
2028,1,16,15606174.05
2029,1,1,8819229.22
2029,1,2,884598.75
2029,1,3,604334.04
2029,1,4,0.0
2029,1,5,10308162.01
2029,1,6,13261737.25
2029,1,7,2723402.01
2029,1,8,1328600.45
2029,1,9,17313739.71
2029,1,10,-7005577.7
2029,1,11,10168726.63
2029,1,12,7145013.08
2029,1,15,30225589.6
2029,1,17,26568535.6
2029,1,16,12349788.27
2025,2,1,25136900.17
2025,2,2,1234673.28
2025,2,3,1377500.0
2025,2,4,0.0
2025,2,5,27749073.45
2025,2,6,15739415.81
2025,2,7,2358313.63
2025,2,8,1775389.46
2025,2,9,19873118.9
2025,2,10,7875954.55
2025,2,11,13326624.0
2025,2,12,6546494.9
2025,2,15,47783008.55
2025,2,17,44125954.55
2025,2,16,20510960.94
2026,2,1,24366564.07
2026,2,2,1333447.14
2026,2,3,1676786.27
2026,2,4,0.0
2026,2,5,27376797.48
2026,2,6,17267713.09
2026,2,7,2535999.36
2026,2,8,1818112.92
2026,2,9,21621825.36
2026,2,10,5754972.12
2026,2,11,14691270.3
2026,2,12,6930555.06
2026,2,15,53537980.67
2026,2,17,49880926.67
2026,2,16,23186030.74
2027,2,1,23690107.84
2027,2,2,1440122.91
2027,2,3,1895475.21
2027,2,4,0.0
2027,2,5,27025705.97
2027,2,6,18944408.03
2027,2,7,2727072.71
2027,2,8,1864591.04
2027,2,9,23536071.77
2027,2,10,3489634.2
2027,2,11,16195656.38
2027,2,12,7340415.4
2027,2,15,57027614.87
2027,2,17,53370560.87
2027,2,16,24808108.98
2028,2,1,23101128.72
2028,2,2,1555332.75
2028,2,3,2028081.31
2028,2,4,0.0
2028,2,5,26684542.78
2028,2,6,20783910.05
2028,2,7,2932542.36
2028,2,8,1915068.98
2028,2,9,25631521.39
2028,2,10,1053021.39
2028,2,11,17854091.59
2028,2,12,7777429.8
2028,2,15,58080636.25
2028,2,17,54423582.25
2028,2,16,25297582.37
2029,2,1,22593821.07
2029,2,2,1679759.37
2029,2,3,2068096.13
2029,2,4,0.0
2029,2,5,26341676.56
2029,2,6,22802027.71
2029,2,7,3153493.01
2029,2,8,1969802.89
2029,2,9,27925323.61
2029,2,10,-1583647.05
2029,2,11,19682350.57
2029,2,12,8242973.04
2029,2,15,56496989.21
2029,2,17,52839935.21
2029,2,16,24561459.54
2025,3,1,28403526.83
2025,3,2,1348994.88
2025,3,3,1993750.0
2025,3,4,0.0
2025,3,5,31746271.71
2025,3,6,16974639.31
2025,3,7,2415377.07
2025,3,8,1879702.57
2025,3,9,21269718.95
2025,3,10,10476552.75
2025,3,11,14513738.0
2025,3,12,6755980.95
2025,3,15,50383606.75
2025,3,17,46726552.75
2025,3,16,21719790.73
2026,3,1,31044890.97
2026,3,2,1591813.96
2026,3,3,2569960.4
2026,3,4,0.0
2026,3,5,35206665.33
2026,3,6,20084393.23
2026,3,7,2660209.83
2026,3,8,2035951.94
2026,3,9,24780555.01
2026,3,10,10426110.32
2026,3,11,17425193.85
2026,3,12,7355361.16
2026,3,15,60809717.07
2026,3,17,57152663.07
2026,3,16,26566134.42
2027,3,1,33959881.65
2027,3,2,1878340.47
2027,3,3,3143396.47
2027,3,4,0.0
2027,3,5,38981618.59
2027,3,6,23763854.08
2027,3,7,2929859.87
2027,3,8,2206139.55
2027,3,9,28899853.5
2027,3,10,10081765.09
2027,3,11,20920687.73
2027,3,12,7979165.77
2027,3,15,70891482.16
2027,3,17,67234428.16
2027,3,16,31252416.95
2028,3,1,37179427.29
2028,3,2,2216441.76
2028,3,3,3697893.55
2028,3,4,0.0
2028,3,5,43093762.6
2028,3,6,26284433.32
2028,3,7,3144979.13
2028,3,8,2391590.44
2028,3,9,31821002.89
2028,3,10,11272759.71
2028,3,11,23346102.13
2028,3,12,8474900.76
2028,3,15,82164241.87
2028,3,17,78507187.87
2028,3,16,36492306.64
2029,3,1,40738186.14
2029,3,2,2615401.27
2029,3,3,4317895.33
2029,3,4,0.0
2029,3,5,47671482.74
2029,3,6,27758514.22
2029,3,7,3318945.75
2029,3,8,2593761.91
2029,3,9,33671221.89
2029,3,10,14000260.85
2029,3,11,24823684.97
2029,3,12,8847536.91
2029,3,15,96164502.73
2029,3,17,92507448.73
2029,3,16,43000014.1
